
Text conversion of header file \A_MEDIDAS\PROJETOS\BRASIL\BLOCO GAVIAO\JACOBINA\CANIF27\sco\CANIF27_018.45_00001.asd.ref
 -------------------------------------------------------------
Falhada                                                                                                                                                     
The instrument number was  16586/1
New ASD spectrum file: Program version = 6.00 file version = 1.00
Spectrum saved: 10/16/2018 at 10:02:53
VNIR integration time : 34
VNIR channel 1 wavelength = 350 wavelength step = 1
There were 50 samples per data value
xmin = 350 xmax= 2500
ymin= 0 ymax= 1.25
The instrument digitizes spectral values to 16 bits
SWIR1 gain was 214 offset was 2097
SWIR2 gain was 513 offset was 2267
Join between VNIR and SWIR1 was 1000 nm
Join between SWIR1 and SWIR2 was 1830 nm
Absolute Reflectance is Enabled
The Absolute Reflectance File is abs165861.ref
VNIR dark signal subtracted
50 dark measurements taken Tue Oct 16 09:52:54 2018
DCC value was 0
Data is compared to a white reference:
60 white reference measurements taken Tue Oct 16 09:53:02 2018
There was no foreoptic attached
Spectrum file is reflectance data
GPS-Latitude is S0
GPS-Longitude is E0
GPS-Altitude is 0
GPS-UTC is Wed Dec 31 17:00:00 1969

Smart Detector
Serial#  0
Signal (A)  0.000E00
Dark (A)  0.000E00
Ref (A)  0.000E00
Status  0 - Uninitialized
Gain  E-4
Averaging  0
Temp (C)  0.0
Humid (%)  0.0

Reflectance Absolute
Wavelength	CANIF27_18.45_00001.asd.ref
350	 8.40725302696228E-02 
351	 8.69325250387192E-02 
352	 9.31891351938248E-02 
353	 8.91003683209419E-02 
354	 7.36182108521461E-02 
355	 7.66345709562302E-02 
356	 8.72175022959709E-02 
357	 0.091853067278862 
358	 0.082462914288044 
359	 7.40398615598679E-02 
360	 7.62055143713951E-02 
361	 8.25995057821274E-02 
362	 7.91152790188789E-02 
363	 7.92007893323898E-02 
364	 7.98761695623398E-02 
365	 7.89788663387299E-02 
366	 7.82090649008751E-02 
367	 7.60632008314133E-02 
368	 0.075882650911808 
369	 7.97391533851624E-02 
370	 8.41856524348259E-02 
371	 8.20492282509804E-02 
372	 7.59024769067764E-02 
373	 7.26414024829865E-02 
374	 7.53346532583237E-02 
375	 7.81279429793358E-02 
376	 7.87871927022934E-02 
377	 7.95473009347916E-02 
378	 7.87681415677071E-02 
379	 7.82638117671013E-02 
380	 7.86844342947006E-02 
381	 0.076226107776165 
382	 7.73033052682877E-02 
383	 7.89819732308388E-02 
384	 7.68135786056519E-02 
385	 7.80303776264191E-02 
386	 8.00431594252586E-02 
387	 8.12996104359627E-02 
388	 8.16802307963371E-02 
389	 8.02655145525932E-02 
390	 8.01129415631294E-02 
391	 8.23551788926125E-02 
392	 8.33074450492859E-02 
393	 8.22347030043602E-02 
394	 8.08744579553604E-02 
395	 8.11498388648033E-02 
396	 8.12355056405067E-02 
397	 8.16192179918289E-02 
398	 8.27942863106728E-02 
399	 8.48430246114731E-02 
400	 8.35670605301857E-02 
401	 8.21414366364479E-02 
402	 8.25969353318214E-02 
403	 8.31971988081932E-02 
404	 8.24867337942123E-02 
405	 8.22107791900635E-02 
406	 8.39467644691467E-02 
407	 8.46644565463066E-02 
408	 8.44573080539703E-02 
409	 0.08420579880476 
410	 8.50106999278069E-02 
411	 8.51221531629562E-02 
412	 8.45122635364532E-02 
413	 8.39895978569984E-02 
414	 8.53277370333672E-02 
415	 8.55592787265778E-02 
416	 8.54390561580658E-02 
417	 8.61825197935104E-02 
418	 8.68085622787476E-02 
419	 8.67651179432869E-02 
420	 8.63369181752205E-02 
421	 8.63189324736595E-02 
422	 8.70031788945198E-02 
423	 0.087773285806179 
424	 8.81095603108406E-02 
425	 8.77543315291405E-02 
426	 8.84105265140533E-02 
427	 8.90146493911743E-02 
428	 8.86457860469818E-02 
429	 8.96270126104355E-02 
430	 9.03894826769829E-02 
431	 0.09044249355793 
432	 0.090146541595459 
433	 9.05709341168404E-02 
434	 9.12580862641335E-02 
