Wavelength;ref
350;0.262184978
351;0.245839074
352;0.241263986
353;0.250608504
354;0.262053519
355;0.246574581
356;0.246178225
357;0.250021517
358;0.239539802
359;0.247179657
360;0.244156644
361;0.234535754
362;0.242439047
363;0.242768586
364;0.242719039
365;0.244194955
366;0.236650854
367;0.231980935
368;0.232564613
369;0.236496046
370;0.238704696
371;0.237429604
372;0.236685708
373;0.240512982
374;0.234957755
375;0.232472792
376;0.23512876
377;0.233095244
378;0.237502635
379;0.240247235
380;0.237075076
381;0.240494773
382;0.240786582
383;0.239759102
384;0.241588801
385;0.239583582
386;0.236987919
387;0.235560477
388;0.235245302
389;0.235150456
390;0.237429067
391;0.24138388
392;0.239524558
393;0.240250111
394;0.241277322
395;0.238935813
396;0.239729434
397;0.241474465
398;0.242784187
399;0.243284568
400;0.243816838
401;0.243837193
402;0.243238926
403;0.242973775
404;0.242321089
405;0.242417336
406;0.244040579
407;0.244643658
408;0.245229557
409;0.245615646
410;0.244986609
411;0.245072588
412;0.245497122
413;0.245906457
414;0.246433467
415;0.247016206
416;0.246766672
417;0.245573536
418;0.246646509
419;0.248685509
420;0.250176132
421;0.250025749
422;0.25166592
423;0.252275914
424;0.251448512
425;0.25338468
426;0.254628718
427;0.255366743
428;0.256404191
429;0.257229894
430;0.25812149
431;0.259095103
432;0.260034531
433;0.261278123
434;0.262306899
435;0.2632007
436;0.265089691
437;0.266382962
438;0.267077506
439;0.267698169
440;0.268990099
441;0.270130336
442;0.270992577
443;0.271901429
444;0.272538275
445;0.27333945
446;0.274398476
447;0.275143594
448;0.275660515
449;0.276251853
450;0.277136147
451;0.277969092
452;0.278387725
453;0.278605461
454;0.279193878
455;0.279652327
456;0.280111551
457;0.280654728
458;0.281129748
459;0.281336248
460;0.281542689
461;0.281995445
462;0.28197664
463;0.282220781
464;0.28277567
465;0.283050895
466;0.283189565
467;0.283306748
468;0.283549756
469;0.284203887
470;0.284494936
471;0.284621239
472;0.285067767
473;0.285448492
474;0.285898358
475;0.286432207
476;0.286906928
477;0.287461996
478;0.287923634
479;0.28821972
480;0.288688689
481;0.289475262
482;0.290321559
483;0.290861189
484;0.291635394
485;0.292420268
486;0.293115437
487;0.29387936
488;0.294634372
489;0.295488417
490;0.296493322
491;0.297373623
492;0.29827112
